image_id,category,variant,psnr,ssim
81ArJhxN0VL,outdoor,0,8.69455821247843,0.7034962843813293
81LKiWqxc1L,home_decor,0,24.75491614298624,0.8292613771233692
71g0aqIwI+L,jewelry,0,13.672342467350617,0.6478181653679262
61AeQFqXIXL,kitchen,0,8.83482908031119,0.8030218152407278
81WjGDdtgfL,apparel,0,6.57791003895068,0.642862682464974
71BqndENHTL,home_decor,0,19.595792137124437,0.40946992134964666
7149Y8cYijL,jewelry,0,5.341014450831835,0.3362898065717651
71IHD2nTl1L,kitchen,0,13.059947087965579,0.795556999425038
71ZSvldABOL,outdoor,0,7.02340366829246,0.6761341779434935
21QizlhKXsL,home_decor,0,26.978293181702867,0.9236307777130578
71pQdxO4o9L,home_decor,0,7.0113567893272215,0.07144685425938584
511wD9ZxvHL,outdoor,0,16.258571758739823,0.7732482880253976
71j8UcSbdDL,kitchen,0,10.096989789923702,0.7662343695139151
81miugDw0PL,electronics,0,7.336344978277918,0.5797842617810797
71JqNf5w+PL,electronics,0,7.07817351123931,0.5854386423115501
81DDw-JJtQL,furniture,0,8.151626845837946,0.6968072083099591
91AGfkvNcHL,furniture,0,7.868627692856364,0.4311478149838502
71Cftojp+jL,apparel,0,10.438005164394559,0.8094182737278579
61mn5fyWmqL,electronics,0,19.143387861871055,0.7787674471276174
61gcKfWVEAL,outdoor,0,16.60926875461375,0.9113060318746155
61EhpBDwSpL,electronics,0,10.529621691728444,0.7182638437388099
91tpyk6plAL,outdoor,0,22.310407432213,0.8054742048514792
810HPbmj84L,furniture,0,15.06521970061212,0.6966776917243779
71qSDipfGTL,electronics,0,9.604375376732806,0.88430170039713
71gFHS8wOjL,apparel,0,14.779600703614356,0.8652466181664856
51iUCgM5MbL,jewelry,0,13.782826699199166,0.7519625012282914
61ws-yRRNXL,home_decor,0,14.002520070704021,0.8424880308738865
81leFQrU7XL,furniture,0,6.219024789327538,0.685162833803345
71tRTTWciSL,electronics,0,10.568949758998865,0.8291425911447805
8123er9MrqL,home_decor,0,7.820317747046575,0.7487069726179254
81pLRzrhjDL,furniture,0,9.917927091665195,0.7674943826415364
71vbN8eW5sL,furniture,0,12.260787569093477,0.36616456158850363
613yX+o8VcL,apparel,0,24.052389763976088,0.8438663077157346
81F9KZwv4yL,electronics,0,7.532889060378116,0.6011300315829258
719nG4GS6-L,furniture,0,7.603204850085722,0.15879620418657733
81ZThsejh5L,electronics,0,10.603340542272878,0.5677030632164004
B1JqVGQLcUS,home_decor,0,9.583107729374968,0.5724973336069996
81aILKr7wbL,apparel,0,12.15549875232597,0.8524063643882216
71GXtYscoWL,outdoor,0,32.089003764323614,0.9252335103707033
71yXg5A0A4L,electronics,0,8.88037271594737,0.5885173017374055
61Ss1VKVRFL,electronics,0,10.659269843798505,0.5576595866857162
71W+2MFriJL,jewelry,0,9.013235341131988,0.5961323715821157
613cThwgEcL,home_decor,0,15.451471619882746,0.8896817237122775
71BykywEnVL,electronics,0,11.30500494980436,0.28561887522948853
81xc-Ld2wVL,home_decor,0,17.46186454490507,0.45340205273517636
716ORoQQ-8S,home_decor,0,6.262898043623651,0.5238159959640376
71-v6g1y+RL,jewelry,0,11.390462937615123,0.1616283275185784
61JJ3eub5WL,home_decor,0,26.99262184060934,0.9365027128924032
91hXnHpk1aL,apparel,0,13.286731756122748,0.7268328124259493
71Z3N22lppL,kitchen,0,5.856566858344418,0.10152142365989247
61Hkonx3W1L,furniture,0,17.64398403425087,0.6198499039688558
71spp6jA7cL,electronics,0,14.922495001487777,0.944185921297275
71+BXj6bkBL,jewelry,0,9.320584669134254,0.8305644609158053
81EyPo+p28L,furniture,0,26.077564870685478,0.8586876242899341
61n+Gg-Iz8L,apparel,0,8.09949898515541,0.6171265006505094
71YTJnLF+-L,jewelry,0,21.935683533420338,0.8446341887924871
61CCB32cq4L,outdoor,0,9.137216192749996,0.8209084935711447
81MoBYaG1aL,home_decor,0,21.10758115229849,0.8147939867309005
912ZVoy4i-L,home_decor,0,20.21995536997524,0.36374113081313886
71HeN-cb4NL,apparel,0,10.905666508944572,0.6399013913287691
619iZ2toTzL,apparel,0,16.83263876007532,0.2869713094020678
91p9-XBFwNS,outdoor,0,13.746637235589487,0.6427189779718828
71NQef1hiJL,electronics,0,11.866856167319906,0.8732589085935386
61GDhX0KWkL,home_decor,0,4.4573008866352986,0.5356408095510616
71VHitGUnFL,electronics,0,18.659564349154582,0.9062989978345082
81Xu6IzJgGL,apparel,0,8.35792388580677,0.7987888626839118
81w2orRKlAL,home_decor,0,27.125960572999617,0.8915896620007444
91r0qaA9pWL,home_decor,0,18.454760943496655,0.4915351956066939
A1WcRbxeI2L,home_decor,0,17.399987120871387,0.8251243335023938
91zTEwgp6TL,home_decor,0,16.326096270585715,0.6589964396340833
A1vwkCrP9XL,home_decor,0,12.430779377996448,0.7316912942503725
A1E+HZ4tFxL,home_decor,0,21.141639044407015,0.7856080723030934
71L7iSg5EzL,apparel,0,10.792202244336064,0.8332074272252462
71f-2j+hxvL,home_decor,0,21.970114761582785,0.8802564168732214
A1HSHXoZtoL,home_decor,0,16.03247213493358,0.7457261388119565
71g0jC6UgCL,electronics,0,28.82223811872921,0.9481332080181691
81AEfE-uR4L,outdoor,0,19.19271858209075,0.8932673022796982
818ohxZTpvL,apparel,0,22.04116566589383,0.9046067255320104
71W0QMvr3-L,electronics,0,5.979594215592945,0.6512065596024607
71R+55pfIPL,electronics,0,7.414622053601451,0.3623561147250183
81Ok5DFKNaL,electronics,0,10.480463805540793,0.4479891829170528
71Qjhp4Jq7L,electronics,0,8.099295422510085,0.8037129519919441
717owx-1MoL,electronics,0,20.711855331414558,0.8684196048007251
71Rd+YHxF4L,furniture,0,13.060110019489146,0.703610951210957
61BrJeVlXFL,home_decor,0,15.971403000901763,0.9565557662675364
61UtEQWzcPL,apparel,0,9.3188848445055,0.1821777903773762
71d5YLMIpjL,apparel,0,11.91315131852143,0.8961483763201397
71H6N8MQmbL,electronics,0,7.965160822538286,0.6962850413408674
61uxoqjR9rL,furniture,0,10.934368879931478,0.9175653953512035
61US6uIP4kL,electronics,0,14.712405372825506,0.8418839094870032
81334DPmu5L,apparel,0,24.798305901607627,0.6244035830857413
A1T8kWgrQ5S,home_decor,0,15.555313108947878,0.8911559165948465
71KMPJQ-dEL,apparel,0,22.75756628369946,0.3797093046375606
711LjpEjbHL,electronics,0,15.082923819382792,0.8447113845737277
71uqFaRsdAL,jewelry,0,5.383785427189837,0.5156727144703465
81PIVuyPtLL,apparel,0,19.00724326811066,0.9635569660681175
91x0rjleexL,home_decor,0,28.713513103230007,0.9727690314877245
71GmouOgRaL,home_decor,0,11.920648965467421,0.2231813444157883
715YHR21hIL,apparel,0,8.627337207517996,0.2532726911663843
71S99GJnOjL,apparel,0,13.229546864552029,0.674824097209767
71aDv3Sw2DL,home_decor,0,13.342857764032106,0.8137750561177997
61p-jke4nqL,jewelry,0,10.017838497145497,0.6202802925758808
61rt+QKh8jL,electronics,0,10.876194426799346,0.890679658717937
61-41CUokaL,jewelry,0,26.82197981625176,0.939095556957121
81FD7F9kDpL,furniture,0,9.651023996857456,0.584496172571756
517A9BCmPLL,furniture,0,8.739158634938333,0.7466880236969763
71rzanep+dL,electronics,0,4.209433473473243,0.48054398866261994
716CxRKo2NL,apparel,0,28.209937546905408,0.9269619292028418
41VkOGAbdAL,jewelry,0,10.479612900352802,0.7039455711952736
71hnYGK77ML,apparel,0,12.721202047605018,0.857884060787919
61ra04K5ZGL,jewelry,0,6.458354096288044,0.5461075000652929
71PH5cJkzoL,jewelry,0,2.7558310068978193,0.4578612665434581
81N6jkxrz5L,apparel,0,17.592017597720893,0.9558259305651251
